,from,to,value
793,Yemen,Angola,visa required
794,Zambia,Angola,30
795,Zimbabwe,Angola,30
796,Afghanistan,Antigua and Barbuda,e-visa
797,Albania,Antigua and Barbuda,180
798,Algeria,Antigua and Barbuda,e-visa
799,Andorra,Antigua and Barbuda,180
800,Angola,Antigua and Barbuda,e-visa
802,Argentina,Antigua and Barbuda,180
803,Armenia,Antigua and Barbuda,180
804,Australia,Antigua and Barbuda,180
805,Austria,Antigua and Barbuda,180
806,Azerbaijan,Antigua and Barbuda,180
807,Bahamas,Antigua and Barbuda,180
808,Bahrain,Antigua and Barbuda,e-visa
809,Bangladesh,Antigua and Barbuda,e-visa
810,Barbados,Antigua and Barbuda,180
811,Belarus,Antigua and Barbuda,180
812,Belgium,Antigua and Barbuda,180
813,Belize,Antigua and Barbuda,180
814,Benin,Antigua and Barbuda,e-visa
815,Bhutan,Antigua and Barbuda,e-visa
816,Bolivia,Antigua and Barbuda,90
817,Bosnia and Herzegovina,Antigua and Barbuda,e-visa
818,Botswana,Antigua and Barbuda,180
819,Brazil,Antigua and Barbuda,180
820,Brunei,Antigua and Barbuda,180
821,Bulgaria,Antigua and Barbuda,180
822,Burkina Faso,Antigua and Barbuda,e-visa
823,Burundi,Antigua and Barbuda,e-visa
824,Cambodia,Antigua and Barbuda,e-visa
825,Cameroon,Antigua and Barbuda,e-visa
826,Canada,Antigua and Barbuda,180
827,Cape Verde,Antigua and Barbuda,e-visa
828,Central African Republic,Antigua and Barbuda,e-visa
829,Chad,Antigua and Barbuda,e-visa
830,Chile,Antigua and Barbuda,180
831,China,Antigua and Barbuda,30
832,Colombia,Antigua and Barbuda,visa free
833,Comoros,Antigua and Barbuda,e-visa
834,Congo,Antigua and Barbuda,e-visa
835,DR Congo,Antigua and Barbuda,e-visa
836,Costa Rica,Antigua and Barbuda,e-visa
837,Ivory Coast,Antigua and Barbuda,e-visa
838,Croatia,Antigua and Barbuda,180
839,Cuba,Antigua and Barbuda,30
840,Cyprus,Antigua and Barbuda,180
841,Czech Republic,Antigua and Barbuda,180
842,Denmark,Antigua and Barbuda,180
843,Djibouti,Antigua and Barbuda,e-visa
844,Dominica,Antigua and Barbuda,visa free
845,Dominican Republic,Antigua and Barbuda,e-visa
846,Ecuador,Antigua and Barbuda,90
847,Egypt,Antigua and Barbuda,e-visa
848,El Salvador,Antigua and Barbuda,e-visa
849,Equatorial Guinea,Antigua and Barbuda,e-visa
850,Eritrea,Antigua and Barbuda,e-visa
851,Estonia,Antigua and Barbuda,180
852,Swaziland,Antigua and Barbuda,180
853,Ethiopia,Antigua and Barbuda,e-visa
854,Fiji,Antigua and Barbuda,180
855,Finland,Antigua and Barbuda,180
856,France,Antigua and Barbuda,180
857,Gabon,Antigua and Barbuda,e-visa
858,Gambia,Antigua and Barbuda,e-visa
859,Georgia,Antigua and Barbuda,180
860,Germany,Antigua and Barbuda,180
861,Ghana,Antigua and Barbuda,e-visa
862,Greece,Antigua and Barbuda,180
863,Grenada,Antigua and Barbuda,visa free
